Q1A,Q6A,Q8A,Q11A,Q12A,Q14A,Q18A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,Condition
0,2,1,0,1,0,0,1,0,1,1,1,1,1,Normal
1,2,1,1,3,1,2,2,1,1,1,3,1,1,Moderate
2,2,2,1,3,2,1,1,2,1,1,1,0,1,Moderate
3,0,2,0,1,3,3,3,1,1,2,0,2,2,Moderate
4,1,2,3,3,3,3,3,3,3,3,3,3,3,Extremely Severe
5,1,1,1,2,2,1,1,1,1,0,1,0,1,Normal
6,1,0,0,2,0,1,0,2,1,0,0,0,0,Normal
7,2,2,1,0,2,0,2,1,0,1,0,2,1,Mild
8,0,0,0,0,0,1,0,0,0,0,0,0,0,Normal
9,0,0,0,1,1,1,0,0,0,0,0,0,0,Normal
10,0,0,1,1,1,1,2,2,1,1,2,1,1,Mild
11,1,1,1,0,1,1,1,1,1,1,1,1,1,Normal
12,1,1,0,3,0,1,1,0,1,0,0,0,0,Normal
13,2,3,2,2,2,2,2,2,2,2,2,2,2,Severe
14,3,1,1,3,1,3,3,3,2,3,3,1,3,Severe
15,2,3,0,2,1,1,3,3,2,1,2,0,1,Moderate
16,3,0,3,3,0,3,3,0,3,0,3,3,3,Severe
17,1,2,2,2,2,2,3,2,2,2,2,2,2,Severe
18,3,1,2,1,1,1,3,3,3,3,2,1,3,Severe
19,1,1,1,3,1,1,3,0,3,1,1,0,0,Mild
20,2,0,0,2,0,2,3,0,1,0,0,0,0,Normal
21,2,3,0,1,3,2,3,3,3,3,2,3,3,Severe
22,1,2,2,1,2,1,3,2,2,2,2,2,2,Moderate
23,1,1,0,1,0,1,1,1,1,0,0,1,0,Normal
24,1,1,1,1,0,1,3,3,1,2,1,2,1,Moderate
25,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
26,1,1,0,1,1,0,2,1,0,1,1,1,1,Normal
27,0,0,1,1,3,1,0,1,1,1,3,1,1,Normal
28,0,0,0,0,0,0,1,0,0,1,0,0,0,Normal
29,3,3,2,3,3,3,3,3,3,3,3,3,3,Extremely Severe
30,3,3,3,3,3,3,0,3,3,3,3,3,3,Extremely Severe
31,0,0,0,2,2,3,0,3,1,0,3,3,0,Mild
32,1,1,3,1,1,1,0,0,1,1,2,1,1,Normal
33,1,0,0,0,1,1,0,0,1,0,1,1,0,Normal
34,1,2,0,0,1,1,1,1,2,3,3,1,1,Mild
35,3,3,3,2,2,3,3,3,3,3,3,3,3,Extremely Severe
36,1,2,2,2,1,2,3,1,2,2,1,1,1,Moderate
37,2,3,2,2,1,2,1,2,2,1,2,0,2,Moderate
38,1,2,1,3,2,3,3,2,3,3,2,1,0,Severe
39,2,1,2,2,2,3,2,2,3,2,2,1,2,Severe
40,1,2,1,2,1,1,3,2,2,3,1,2,1,Moderate
41,2,3,1,3,3,3,3,3,3,1,1,3,3,Extremely Severe
42,2,1,1,1,3,3,2,1,2,2,2,3,2,Severe
43,1,1,0,2,0,0,3,0,1,1,1,0,0,Normal
44,0,0,3,0,1,0,1,2,3,2,0,1,3,Mild
45,0,1,0,1,0,1,1,3,1,1,2,2,3,Mild
46,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
47,1,2,1,2,1,1,1,1,1,1,1,3,1,Moderate
48,1,1,1,1,1,1,1,1,1,1,1,0,0,Normal
49,2,1,0,1,2,2,2,2,1,2,1,0,1,Mild
50,2,1,2,1,1,2,1,1,1,1,1,1,1,Mild
51,1,2,1,3,2,3,2,2,2,1,3,1,1,Severe
52,1,0,0,2,0,0,0,0,2,1,1,0,0,Normal
53,1,2,1,2,2,2,2,2,2,2,1,1,2,Moderate
54,0,0,0,1,0,0,0,0,0,0,0,0,0,Normal
55,1,1,1,2,2,2,3,3,3,2,2,2,2,Severe
56,2,2,3,3,2,3,3,2,2,2,1,2,1,Severe
57,2,2,2,1,2,3,3,3,2,2,1,1,3,Severe
58,3,0,0,0,0,2,3,1,0,2,2,0,1,Mild
59,1,1,0,3,0,1,2,1,2,0,1,0,0,Normal
60,2,3,2,3,3,2,1,2,3,3,1,3,1,Severe
61,2,0,1,1,3,3,2,2,0,1,0,0,1,Mild
62,1,2,1,1,1,1,1,1,1,1,1,1,1,Mild
63,1,1,1,0,2,1,2,1,3,1,1,2,2,Moderate
64,1,1,1,1,1,0,2,1,1,2,1,1,1,Mild
65,1,0,2,0,0,1,0,1,0,2,1,0,0,Normal
66,1,2,1,1,0,1,2,1,0,1,1,1,0,Normal
67,2,1,2,1,2,1,3,2,2,2,2,2,2,Severe
68,3,0,0,3,3,3,0,0,3,3,3,0,3,Severe
69,1,1,1,2,0,0,1,1,1,1,1,0,2,Normal
70,0,0,0,1,0,1,3,0,1,0,0,1,0,Normal
71,0,0,0,0,0,0,0,0,0,0,1,0,0,Normal
72,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
73,1,0,1,1,0,2,1,1,1,1,2,0,0,Normal
